"product_page","image","name"
"https://www.marksandspencer.com/food/chocolate-pastel-de-nata/p/fdp60770670#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/b73dbd3f23cfaccfa1e98a86ea4dfd3a.jpg","Chocolate Pastel de Nata"
"https://www.marksandspencer.com/food/gingerbread-blondie-cookie-cup-pies/p/fdp60758260#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/6eb2800b862a15439d99538dab7e5c5f.jpg","Gingerbread Blondie Cookie Cup Pies"
"https://www.marksandspencer.com/food/pumpkin-colin-the-caterpillar/p/fdp60761249#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/5fb88e0beee079dc687063ddefdc6574.jpg","Pumpkin Colin The Caterpillar"
"https://www.marksandspencer.com/food/bramley-apple-tart/p/fdp60778911#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/6f95268fbbe1eb52ad04846301004a9c.jpg","Bramley Apple Tart"
"https://www.marksandspencer.com/food/9-mini-spooktacular-cupcakes/p/fdp60761247#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f91afd9f9940f345c88180e79b557471.jpg","9 Mini Spooktacular Cupcakes"
"https://www.marksandspencer.com/food/classic-panettone/p/fdp60481383#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/1ba2456ac56d426cf50cad4a6e2bde82.jpg","Classic Panettone"
"https://www.marksandspencer.com/food/classic-panettone/p/fdp60291542#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/a6c9a4d71f2170ce3ecee010d95bf288.jpg","Classic Panettone"
"https://www.marksandspencer.com/food/collection-stollen-bites/p/fdp21059978#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8fa79a9742864b159fa4b0602fda0f04.jpg","Collection Stollen Bites"
"https://www.marksandspencer.com/food/collection-stollen-slices/p/fdp21065740#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/6b74c8a15c7a2976d7f832b599f77770.jpg","Collection Stollen Slices"
"https://www.marksandspencer.com/food/cranberry-and-orange-panettone/p/fdp60535969#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/b83033cd0d3f47c1a6a3d252256832d8.jpg","Cranberry & Orange Panettone"
"","https://images.ctfassets.net/prxuf37q3ta2/5cuHEnGrt5jO1vl7X55vJv/ed600a230841553e7229b297436edf63/Primary_Image_1200x900__1_.jpg?w=2560&q=60&fm=webp",""
"https://www.marksandspencer.com/food/italian-nocciolato-panettone/p/fdp21053793#intid=pid_pg1pip96g6r2c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/0399c6eedace02da22773ad8ac5d8848.jpg","Italian Nocciolato Panettone"
"https://www.marksandspencer.com/food/mini-halloween-pumpkin-cakes/p/fdp60708517#intid=pid_pg1pip96g6r2c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/110b4f116676a559d4bd5b558ea36490.jpg","Mini Halloween Pumpkin Cakes"
"https://www.marksandspencer.com/food/pumpkin-colin-the-caterpillar/p/fdp60761318#intid=pid_pg1pip96g6r3c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/1b2dcb53783e4cfea774e70c4acaaf11.jpg","Pumpkin Colin the Caterpillar"
"https://www.marksandspencer.com/food/sweet-and-salty-popcorn-clusters/p/fdp60761344#intid=pid_pg1pip96g6r3c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/42056b6bbab104f81f915563e0f11fdd.jpg","Sweet and Salty Popcorn Clusters"
"https://www.marksandspencer.com/food/amazing-almond-mini-bakewell-cakes/p/fdp60761631#intid=pid_pg1pip96g6r3c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/1f71967e17e4178b0730d8cab6b26ead.jpg","Amazing Almond Mini Bakewell Cakes"
"https://www.marksandspencer.com/food/classic-mince-pies/p/fdp21061823#intid=pid_pg1pip96g6r3c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/bd6f0b93877975427aa1dd4b22bc4091.jpg","Classic Mince Pies"
"https://www.marksandspencer.com/food/collection-perfectly-matured-iced-christmas-fruit-cake/p/fdp60475298#intid=pid_pg1pip96g6r3c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ffe7bc61a03ff4fb47927e288fa73b29.jpg","Collection Perfectly Matured Iced Christmas Fruit Cake"
"https://www.marksandspencer.com/food/collection-perfectly-matured-iced-christmas-fruit-cake/p/fdp21059813#intid=pid_pg1pip96g6r3c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/93682f3fdf8f5f00b6dc121422ea77b7.jpg","Collection Perfectly Matured Iced Christmas Fruit Cake"
"https://www.marksandspencer.com/food/collection-perfectly-matured-old-fashioned-jewelled-christmas-pudding-wreath/p/fdp60759939#intid=pid_pg1pip96g6r4c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/0554a154966fadf66e22698b664310ba.jpg","Collection Perfectly Matured Old Fashioned Jewelled Christmas Pudding Wreath"
"https://www.marksandspencer.com/food/collection-perfectly-matured-rich-fruit-cake/p/fdp60518825#intid=pid_pg1pip96g6r4c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/68f488a249fea20f8efa2f85f9c33787.jpg","Collection Perfectly Matured Rich Fruit Cake"
"https://www.marksandspencer.com/food/collection-rich-fruit-cake/p/fdp21065023#intid=pid_pg1pip96g6r4c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/23eb1d26bfb4164e229895cf7167cbdb.jpg","Collection Rich Fruit Cake"
"https://www.marksandspencer.com/food/completely-choctastic-cupcake-selection/p/fdp60759823#intid=pid_pg1pip96g6r4c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/fbe0a61d2d0b9fb7f8ad3da338909d41.jpg","Completely Choctastic Cupcake Selection"
"https://www.marksandspencer.com/food/completely-choctastic-mini-cupcakes/p/fdp60761968#intid=pid_pg1pip96g6r4c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/4f9cb2656888464b111084f01f775567.jpg","Completely Choctastic Mini Cupcakes"
"https://www.marksandspencer.com/food/creamy-tiramisu-brownies/p/fdp60759819#intid=pid_pg1pip96g6r4c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/39454af69a994e74b5aec3e0610cde23.jpg","Creamy Tiramisu Brownies"
"https://www.marksandspencer.com/food/double-chocolate-cake-bars/p/fdp60759811#intid=pid_pg1pip96g6r5c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/9a46c86e6ed49674764badc69ee19c01.jpg","Double Chocolate Cake Bars"
