"product_page","image","name"
"https://www.marksandspencer.com/food/brain-food-granola-super-seeded/p/fdp60724153#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/3267710be0085c880c41d1a21a695cc2.jpg","Brain Food Granola Super Seeded"
"https://www.marksandspencer.com/food/brain-food-mixed-berry-bars/p/fdp60713519#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/b6805ef7efceaf45840a2ab0d388ae8f.jpg","Brain Food Mixed Berry Bars"
"https://www.marksandspencer.com/food/brain-food-blueberry-yogurt-bowl/p/fdp60720750#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/2d71f41f5965921a16fd65db2de310bb.jpg","Brain Food Blueberry Yogurt Bowl"
"https://www.marksandspencer.com/food/brain-food-blueberry-and-walnut-shot/p/fdp60724524#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/cef5e78ded1e787a6c0437f099fc8f65.jpg","Brain Food Blueberry and Walnut Shot"
"https://www.marksandspencer.com/food/brain-food-brain-ball/p/fdp60713787#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/4f3799ef07f40b8552563e0ba1812389.jpg","Brain Food Brain Ball"
"https://www.marksandspencer.com/food/brain-food-oat-of-the-blue-drink/p/fdp60720748#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/d340353c44fb438b264c2672c3a0fb49.jpg","Brain Food Oat of the Blue Drink"
"https://www.marksandspencer.com/food/brain-food-super-salmon-salad/p/fdp60724576#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/fd9f321dda388820a40f03a6195bfad8.jpg","Brain Food Super Salmon Salad"
"https://www.marksandspencer.com/food/brain-food-super-smoothie/p/fdp60722840#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8dcbe652744161369547c52cd47d053e.jpg","Brain Food Super Smoothie"
"https://www.marksandspencer.com/food/brain-food-tropical-kefir-shot/p/fdp60733488#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/869845d67cb216c7b00025490916b79d.jpg","Brain Food Tropical Kefir Shot"
"https://www.marksandspencer.com/food/brain-health-smoked-salmon-egg-and-edamame-pot/p/fdp60724577#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/0ccd5b5638355f4dc0d9a45ae94cb803.jpg","Brain Health Smoked Salmon, Egg and Edamame Pot"
"","https://images.ctfassets.net/prxuf37q3ta2/6HyMixm07qnopKUvoC8hPX/dfa077dd12a25a4d218ba5e85c2f090f/Primary_Image_1200x900.jpg?w=2560&q=60&fm=webp",""
"https://www.marksandspencer.com/food/mixed-berry-bar/p/fdp60713784#intid=pid_pg1pip96g6r2c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/908e701a64538e9e7a4d3e830167d8b5.jpg","Mixed Berry Bar"
"https://www.marksandspencer.com/food/tropical-kefir-shot/p/fdp60733487#intid=pid_pg1pip96g6r2c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/457b92b1df20d412ce8bcce6b39624f3.jpg","Tropical Kefir Shot"
