"product_page","image","name"
"https://www.marksandspencer.com/food/in-shell-hazelnuts/p/fdp60483089#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/233e8f5ca16b8fd71237025de5d86682.jpg","In Shell Hazelnuts"
"https://www.marksandspencer.com/food/in-shell-mixed-nuts/p/fdp60703655#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f3852f8fa9134cec225179d080bf746b.jpg","In Shell Mixed Nuts"
"https://www.marksandspencer.com/food/in-shell-walnuts/p/fdp21007189#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/79b49514da6023a1d9526b9c834ea2ef.jpg","In Shell Walnuts"
"https://www.marksandspencer.com/food/nut-cracker/p/fdp60700864#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/0fbd093f6f2911f2da653fc8c99ce479.jpg","Nut Cracker"
"https://www.marksandspencer.com/food/10-breaded-tiger-prawns/p/fdp60053528#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/873b9c20dcbc06215ad3f8232573e8af.jpg","10 Breaded Tiger Prawns"
"https://www.marksandspencer.com/food/10-mushroom-vol-au-vents/p/fdp60709895#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ab24f19442e51f2de58e1fed2264c833.jpg","10 Mushroom Vol Au Vents"
"https://www.marksandspencer.com/food/12-tangy-brie-and-cranberry-tartlets/p/fdp21051145#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/78d892b3110e7a4824042ba6acf92961.jpg","12 Tangy Brie & Cranberry Tartlets"
"https://www.marksandspencer.com/food/14-pigs-in-blankets/p/fdp60711077#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ba40cf640d0f3c6e010abeba3ba362ec.jpg","14 Pigs In Blankets"
"https://www.marksandspencer.com/food/18-indian-style-taster-platter/p/fdp21052901#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f9553bfec0b6a80f8d1bd7b999c2dd6f.jpg","18 Indian Style Taster Platter"
"https://www.marksandspencer.com/food/boxing-day-curry-wrap/p/fdp60764549#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/696c40f42ccd41df271c481cc278c6d6.jpg","Boxing Day Curry Wrap"
