"product_page","image","name"
"https://www.marksandspencer.com/food/0-fat-greek-style-yogurt-with-toffee-flavour/p/fdp60768470#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/74c96fe0d6a6fac0aef171cf83f6113c.jpg","0% Fat Greek Style Yogurt With Toffee Flavour"
"https://www.marksandspencer.com/food/0-fat-greek-style-yogurt-with-strawberry/p/fdp60767021#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/05f0f0b4c955294ab01414a761c37f8e.jpg","0% Fat Greek Style Yogurt with Strawberry"
"https://www.marksandspencer.com/food/collection-black-cherry-west-country-yogurt/p/fdp60767615#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/db48210f6130d8cc569739a392ffa665.jpg","Collection Black Cherry West Country Yogurt"
"https://www.marksandspencer.com/food/collection-bramley-apple-crumble-west-country-yogurt/p/fdp60767414#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/97e1480b70e710879a6acb4cad979490.jpg","Collection Bramley Apple Crumble West Country Yogurt"
"https://www.marksandspencer.com/food/collection-heather-honey-and-ginger-west-country-yogurt-with-devonshire-cream/p/fdp60768479#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e7dbc537bfd68ab4f024f62edeb9340f.jpg","Collection Heather Honey and Ginger West Country Yogurt with Devonshire Cream"
"https://www.marksandspencer.com/food/collection-madagascan-vanilla-west-country-yogurt-with-devonshire-cream/p/fdp60768478#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8635fcf6407a1a1629a45660642a46a3.jpg","Collection Madagascan Vanilla West Country Yogurt with Devonshire Cream"
"https://www.marksandspencer.com/food/collection-timperley-rhubarb-and-custard-flavour-west-country-yogurt/p/fdp60767614#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/b4c9c89c7a1e04e6822db7a997a45c8f.jpg","Collection Timperley Rhubarb and Custard Flavour West Country Yogurt"
"https://www.marksandspencer.com/food/greek-style-yogurt-layered-with-mango-and-passion-fruit/p/fdp60767022#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/fd13d6eafbea38b19b409915c58feca3.jpg","Greek Style Yogurt Layered with Mango and Passion Fruit"
"https://www.marksandspencer.com/food/greek-style-yogurt-layered-with-toffee-sauce/p/fdp60767020#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/fc045dd20c1c931a4e496060c8aeb81d.jpg","Greek Style Yogurt Layered with Toffee Sauce"
"https://www.marksandspencer.com/food/greek-style-yogurt-with-blackcurrant-and-blueberry/p/fdp60768552#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/50d2a5d293142a7aa4fbe4782d3b78bd.jpg","Greek Style Yogurt with Blackcurrant and Blueberry"
"","https://images.ctfassets.net/prxuf37q3ta2/IuPTUULqnM14zzJyooYbr/1afead6177eeab0f1b54d3267384ab9b/Screenshot_2025-03-21_at_15.53.56.png?w=2560&q=60&fm=webp",""
"https://www.marksandspencer.com/food/greek-style-yogurt-with-cherry/p/fdp60769212#intid=pid_pg1pip96g6r2c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/d590e44b85c3eed1812659cc3965db7a.jpg","Greek Style Yogurt with Cherry"
"https://www.marksandspencer.com/food/greek-style-yogurt-with-cherry/p/fdp60767035#intid=pid_pg1pip96g6r2c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/a505cee354d837301c92a13f7d820bff.jpg","Greek Style Yogurt with Cherry"
"https://www.marksandspencer.com/food/greek-style-yogurt-with-lemon/p/fdp60769211#intid=pid_pg1pip96g6r3c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/acfd5504036a3992c8e214eccd657d50.jpg","Greek Style Yogurt with Lemon"
"https://www.marksandspencer.com/food/greek-style-yogurt-with-lemon/p/fdp60767014#intid=pid_pg1pip96g6r3c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/a56b5a47e6f5b56a28f5c6fc153dcbdb.jpg","Greek Style Yogurt with Lemon"
