"product_page","image","name"
"https://www.marksandspencer.com/food/10-breaded-tiger-prawns/p/fdp60053528#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/873b9c20dcbc06215ad3f8232573e8af.jpg","10 Breaded Tiger Prawns"
"https://www.marksandspencer.com/food/10-mushroom-vol-au-vents/p/fdp60709895#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ab24f19442e51f2de58e1fed2264c833.jpg","10 Mushroom Vol Au Vents"
"https://www.marksandspencer.com/food/12-tangy-brie-and-cranberry-tartlets/p/fdp21051145#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/78d892b3110e7a4824042ba6acf92961.jpg","12 Tangy Brie & Cranberry Tartlets"
"https://www.marksandspencer.com/food/14-pigs-in-blankets/p/fdp60711077#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ba40cf640d0f3c6e010abeba3ba362ec.jpg","14 Pigs In Blankets"
"https://www.marksandspencer.com/food/18-indian-style-taster-platter/p/fdp21052901#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f9553bfec0b6a80f8d1bd7b999c2dd6f.jpg","18 Indian Style Taster Platter"
"https://www.marksandspencer.com/food/christmas-collection-handmade-tiger-prawn-selection/p/fdp21062781#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e7cd488d6d3cdd2995e4253dd397bb1a.jpg","Christmas Collection Handmade Tiger Prawn Selection"
"https://www.marksandspencer.com/food/collection-12-mini-pies/p/fdp21062119#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ff485688c1e000c853a52c0e9998fd75.jpg","Collection 12 Mini Pies"
"https://www.marksandspencer.com/food/collection-mini-turkey-feast-toasties/p/fdp60757158#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/2f0159f8c13542f83aff20fec7616433.jpg","Collection Mini Turkey Feast Toasties"
"https://www.marksandspencer.com/food/collection-paella-bites/p/fdp60756958#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/84671ab3a3d7537265736ef08b00aa51.jpg","Collection Paella Bites"
"https://www.marksandspencer.com/food/crispy-tempura-vegetable-fritters/p/fdp60723947#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8bdf3365d6348cd2a549144bd43f5974.jpg","Crispy Tempura Vegetable Fritters"
"","https://images.ctfassets.net/prxuf37q3ta2/6QdETluFDrDGfPRtXngm5r/e8919373e5ab86221f5ca263844b434f/Screenshot_2025-03-21_at_15.47.52.png?w=2560&q=60&fm=webp",""
"https://www.marksandspencer.com/food/duck-spring-rolls/p/fdp60052901#intid=pid_pg1pip96g6r2c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/827f6df8e4f9d16783e9db40fe1060f3.jpg","Duck Spring Rolls"
"https://www.marksandspencer.com/food/fish-and-chip-bites/p/fdp60755759#intid=pid_pg1pip96g6r2c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ca6e97a16b11c4b4893bd59ebd0cc503.jpg","Fish and Chip Bites"
"https://www.marksandspencer.com/food/halloumi-fries/p/fdp60523239#intid=pid_pg1pip96g6r3c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/407bb9371bc15fa7530e62fbb3548c8b.jpg","Halloumi Fries"
"https://www.marksandspencer.com/food/halloumi-in-blankets/p/fdp60724716#intid=pid_pg1pip96g6r3c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/a24959dae9ba3048ba95b68400bb8324.jpg","Halloumi in Blankets"
"https://www.marksandspencer.com/food/hash-brown-topple-tower/p/fdp60756863#intid=pid_pg1pip96g6r3c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ddebc1d2ca2716dd7dbc652f71d23d6a.jpg","Hash Brown Topple Tower"
"https://www.marksandspencer.com/food/mini-tarts/p/fdp60770689#intid=pid_pg1pip96g6r3c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ca5826ee530053d617646e715e210749.jpg","Mini Tarts"
"https://www.marksandspencer.com/food/mini-vegetable-tacos/p/fdp60755782#intid=pid_pg1pip96g6r3c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/54d3520b84a7566b46fa9a62e9b2134a.jpg","Mini Vegetable Tacos"
"https://www.marksandspencer.com/food/our-best-ever-mini-beef-burgers/p/fdp60054111#intid=pid_pg1pip96g6r3c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e44e9b21181b7d4f87a6cf0f8a088838.jpg","Our Best Ever Mini Beef Burgers"
"https://www.marksandspencer.com/food/our-best-ever-prawn-toast/p/fdp60629862#intid=pid_pg1pip96g6r4c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/75c05fad79482c3755afd83f0e9e9a4d.jpg","Our Best Ever Prawn Toast"
"https://www.marksandspencer.com/food/pad-thai-spring-rolls/p/fdp60723948#intid=pid_pg1pip96g6r4c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/97247d24d40b59e627d02f5597de49c6.jpg","Pad Thai Spring Rolls"
"https://www.marksandspencer.com/food/southern-fried-chicken-bites/p/fdp60001620#intid=pid_pg1pip96g6r4c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/84bc93d0f61069c92ddd4f9ab7ceef7a.jpg","Southern Fried Chicken Bites"
"https://www.marksandspencer.com/food/spiced-potato-and-spinach-dosa-rolls/p/fdp60755794#intid=pid_pg1pip96g6r4c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/12cfb208e45808260b25e524a064e987.jpg","Spiced Potato and Spinach Dosa Rolls"
"https://www.marksandspencer.com/food/succulent-mini-chicken-kyiv/p/fdp21062067#intid=pid_pg1pip96g6r4c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/85580e514b13b419e7088c20e58b4064.jpg","Succulent Mini Chicken Kyiv"
"https://www.marksandspencer.com/food/chicken-kyiv-hot-melting-dip/p/fdp60762158#intid=pid_pg1pip96g6r4c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/2a266b3a941fe7edb84ac9db1abdc819.jpg","Chicken Kyiv Hot Melting Dip"
"https://www.marksandspencer.com/food/nduja-and-pepperoni-pizza-hot-melting-dip/p/fdp60762128#intid=pid_pg1pip96g6r5c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/4328d08380338044b3c3eca8783c74b7.jpg","Nduja and Pepperoni Pizza Hot Melting Dip"
"https://www.marksandspencer.com/food/spanish-style-beetroot-gazpacho/p/fdp60741002#intid=pid_pg1pip96g6r5c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/d1f0cd478689f5ad78e8f01b513b3bbd.jpg","Spanish Style Beetroot Gazpacho"
"https://www.marksandspencer.com/food/spanish-style-mini-tortillas/p/fdp60761320#intid=pid_pg1pip96g6r5c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/eeb603df4291e4a0155d61a51265e434.jpg","Spanish Style Mini Tortillas"
"https://www.marksandspencer.com/food/antipasti-mediterranean-sharing-platter/p/fdp60740607#intid=pid_pg1pip96g6r5c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/cdc8d194b83724bb166b8af4e76d7104.jpg","Antipasti Mediterranean Sharing Platter"
"https://www.marksandspencer.com/food/cold-brined-pickled-red-onions/p/fdp60764228#intid=pid_pg1pip96g6r5c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/64a134da485b622dd45f5757fb2977e9.jpg","Cold Brined Pickled Red Onions"
"https://www.marksandspencer.com/food/collection-handcrafted-charcuterie-and-cheese-platter/p/fdp60740605#intid=pid_pg1pip96g6r5c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e022acc7d2f12e117cb5c6c875e2e1f4.jpg","Collection Handcrafted Charcuterie and Cheese Platter"
"https://www.marksandspencer.com/food/continental-charcuterie-grazing-platter/p/fdp60740604#intid=pid_pg1pip96g6r6c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/30e906e5cb3030d73118502b623635bb.jpg","Continental Charcuterie Grazing Platter"
"https://www.marksandspencer.com/food/greek-style-baked-feta/p/fdp60761315#intid=pid_pg1pip96g6r6c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/c2c6b775e989c8df79e77da088382b1c.jpg","Greek Style Baked Feta"
"https://www.marksandspencer.com/food/greek-style-prawn-saganaki/p/fdp60761319#intid=pid_pg1pip96g6r6c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/3a89a0132ad24c42b599970581ce6674.jpg","Greek Style Prawn Saganaki"
"https://www.marksandspencer.com/food/greek-style-spanakopita-pastries/p/fdp60761321#intid=pid_pg1pip96g6r6c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/d230cd2434cb3fff16d38699b0e3a5f3.jpg","Greek Style Spanakopita Pastries"
"https://www.marksandspencer.com/food/italian-style-meatballs/p/fdp60761248#intid=pid_pg1pip96g6r6c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/b35665b27680440535a08416cef47ece.jpg","Italian Style Meatballs"
"https://www.marksandspencer.com/food/mediterranean-antipasti-platter/p/fdp60740606#intid=pid_pg1pip96g6r6c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/384ea3a2b87ae290fe89fcaf73b0549c.jpg","Mediterranean Antipasti Platter"
"https://www.marksandspencer.com/food/mixed-seafood-platter/p/fdp60740609#intid=pid_pg1pip96g6r7c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/077926132b2a9e466d22d13ee8031a0d.jpg","Mixed Seafood Platter"
"https://www.marksandspencer.com/food/naturally-fermented-classic-kimchi/p/fdp60754082#intid=pid_pg1pip96g6r7c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ad028b6b5a4e8f53bf03a395b59cd5e2.jpg","Naturally Fermented Classic Kimchi"
"https://www.marksandspencer.com/food/naturally-fermented-golden-kimchi/p/fdp60764226#intid=pid_pg1pip96g6r7c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/3c67e8a1786b8fa97bde226fab40745d.jpg","Naturally Fermented Golden Kimchi"
"https://www.marksandspencer.com/food/ploughmans-snacking-platter/p/fdp60740621#intid=pid_pg1pip96g6r7c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e75d41718936165b6092fd38c9d01c60.jpg","Ploughman's Snacking Platter"
"https://www.marksandspencer.com/food/prawn-cocktail-platter/p/fdp60740610#intid=pid_pg1pip96g6r7c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/0463d7a07cfde4a0b3aa560edf53cbf8.jpg","Prawn Cocktail Platter"
"https://www.marksandspencer.com/food/spanish-style-butter-beans/p/fdp60761314#intid=pid_pg1pip96g6r7c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/00d0e70d4723d596a07090ff863515ff.jpg","Spanish Style Butter Beans"
"https://www.marksandspencer.com/food/spanish-style-chicken-and-chorizo-croquetas/p/fdp60761317#intid=pid_pg1pip96g6r8c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/7ff713e381c703f3556869c2f9d8443f.jpg","Spanish Style Chicken and Chorizo Croquetas"
"https://www.marksandspencer.com/food/spanish-style-chicken-and-chorizo-empanadas/p/fdp60761316#intid=pid_pg1pip96g6r8c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/169792ffba229f4e0b388a9de782d6f6.jpg","Spanish Style Chicken and Chorizo Empanadas"
"https://www.marksandspencer.com/food/spanish-style-chorizo-al-vino-tinto/p/fdp60761338#intid=pid_pg1pip96g6r8c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/7840ad878ce79a68e2d917c6be4bdac0.jpg","Spanish Style Chorizo al Vino Tinto"
