"product_page","image","name"
"https://www.marksandspencer.com/food/northern-irish-free-range-medium-eggs/p/fdp60065708#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/36dc4e418c2d918b2c3bed444399f3e7.jpg","Northern Irish Free Range Medium Eggs"
"https://www.marksandspencer.com/food/organic-scottish-mixed-size-free-range-eggs/p/fdp60482163#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f4f92f871c208fb9270daaa123b0da1e.jpg","Organic Scottish Mixed Size Free Range Eggs"
"https://www.marksandspencer.com/food/british-farmed-6-free-range-premium-eggs/p/fdp60065621#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/1890738848894ac7d5a989c4d5d7d6f2.jpg","British Farmed 6 Free Range Premium Eggs"
"https://www.marksandspencer.com/food/collection-british-free-range-araucana-blue-eggs/p/fdp60065607#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/c1a78305cf5369e17d700f8bf866f87a.jpg","Collection British Free Range Araucana Blue Eggs"
"https://www.marksandspencer.com/food/liquid-whole-egg/p/fdp60723937#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/c957c2e2aab136ec3956a2f65d5a20d9.jpg","Liquid Whole Egg"
"https://www.marksandspencer.com/food/loose-eggs/p/fdp60527139#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/03bd5a9780ee14b017c547d166604b7b.jpg","Loose Eggs"
"https://www.marksandspencer.com/food/scottish-6-free-range-medium-eggs/p/fdp60065701#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/24cab76f0699b2b67264227151fcb2e3.jpg","Scottish 6 Free Range Medium Eggs"
"https://www.marksandspencer.com/food/scottish-free-range-large-eggs/p/fdp60065702#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/2f4b9af73899f3d1a32b16ef656a0c7a.jpg","Scottish Free Range Large Eggs"
"https://www.marksandspencer.com/food/organic-british-6-medium-free-range-eggs/p/fdp21051716#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/970ce97351234ad8a9b31475394c2c16.jpg","Organic British 6 Medium Free Range Eggs"
"https://www.marksandspencer.com/food/british-12-free-to-fly-british-quail-eggs/p/fdp60248617#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/34c646ca786e4f26114e5340910e7c2d.jpg","British 12 Free to Fly British Quail Eggs"
"https://www.marksandspencer.com/food/loose-eggs/p/fdp60527140#intid=pid_pg1pip96g6r2c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/1bfff0c434269be988149984768f11b5.jpg","Loose Eggs"
"https://www.marksandspencer.com/food/northern-irish-free-range-omega-3-enriched-large-eggs/p/fdp60065709#intid=pid_pg1pip96g6r2c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/296a1e2c77258cf86c049418a1fcc835.jpg","Northern Irish Free Range Omega 3 Enriched Large Eggs"
"https://www.marksandspencer.com/food/organic-mixed-size-northern-irish-eggs/p/fdp60482162#intid=pid_pg1pip96g6r3c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e35dd1b175747b2751b9f847c036de0f.jpg","Organic Mixed Size Northern Irish Eggs"
"https://www.marksandspencer.com/food/scottish-free-range-large-eggs/p/fdp60065629#intid=pid_pg1pip96g6r3c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/688635e8134fe14bc3a55fc7e30a69a7.jpg","Scottish Free Range Large Eggs"
