"product_page","image","name"
"https://www.marksandspencer.com/food/in-shell-hazelnuts/p/fdp60483089#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/233e8f5ca16b8fd71237025de5d86682.jpg","In Shell Hazelnuts"
"https://www.marksandspencer.com/food/in-shell-mixed-nuts/p/fdp60703655#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f3852f8fa9134cec225179d080bf746b.jpg","In Shell Mixed Nuts"
"https://www.marksandspencer.com/food/in-shell-walnuts/p/fdp21007189#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/79b49514da6023a1d9526b9c834ea2ef.jpg","In Shell Walnuts"
"https://www.marksandspencer.com/food/nut-cracker/p/fdp60700864#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/0fbd093f6f2911f2da653fc8c99ce479.jpg","Nut Cracker"
"https://www.marksandspencer.com/food/chestnuts/p/fdp21003459#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/0155ed86f3801e72399e4df84b31ebe0.jpg","Chestnuts"
"https://www.marksandspencer.com/food/take-4-st-michael-real-milk-chocolate-4-finger-wafer-bar/p/fdp60769931#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/04b41376ac5b2ee7090c4c5dbc922f25.jpg","Take 4 St Michael Real Milk Chocolate 4 Finger Wafer Bar"
"https://www.marksandspencer.com/food/chocolate-lolly-advent-calendar/p/fdp60753714#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/d93a0c6a4c121d0c1c7686fb8d9507a7.jpg","Chocolate Lolly Advent Calendar"
"https://www.marksandspencer.com/food/percy-pig-naughty-or-nice-piglets-advent-calendar/p/fdp60292771#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/9218c6798fd3f63e527505df43f6f596.jpg","Percy Pig Naughty or Nice Piglets Advent Calendar"
"https://www.marksandspencer.com/food/18-medjool-dates-without-stones/p/fdp21003204#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/cf9f447aa05d621369ed31a395e973eb.jpg","18 Medjool Dates Without Stones"
"https://www.marksandspencer.com/food/all-butter-cornish-cruncher-cheese-biscuit-selection/p/fdp60764373#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/2b6622dd6512ff65b4916ca60eed335d.jpg","All Butter Cornish Cruncher® Cheese Biscuit Selection"
