"product_page","image","name"
"https://www.marksandspencer.com/food/almond-croissant-inspired-blondie/p/fdp60774723#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/7e9144456b789e1ddb0f13937de5e006.jpg","Almond Croissant-Inspired Blondie"
"https://www.marksandspencer.com/food/boxing-day-curry-wrap/p/fdp60764549#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/696c40f42ccd41df271c481cc278c6d6.jpg","Boxing Day Curry Wrap"
"https://www.marksandspencer.com/food/brie-and-cranberry-sandwich/p/fdp21097997#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f644214db50b568d9ee54f572e61372e.jpg","Brie and Cranberry Sandwich"
"https://www.marksandspencer.com/food/british-hand-cooked-butter-basted-roast-turkey-crisps/p/fdp60764572#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/a4a5eabeb283a50a6bc0df92e4c7fb14.jpg","British Hand Cooked Butter Basted Roast Turkey Crisps"
"https://www.marksandspencer.com/food/british-ridge-cut-spicy-prawn-cocktail-crisps/p/fdp60764573#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/634bff0f8f7edde78841443d68aff185.jpg","British Ridge Cut Spicy Prawn Cocktail Crisps"
"https://www.marksandspencer.com/food/cheese-curls/p/fdp60738589#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/52810aed373e2b2710a800466507f156.jpg","Cheese Curls"
"https://www.marksandspencer.com/food/chocolate-orange-milkshake/p/fdp60764504#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/c2651c9d3c4ca623e8c3e447b56da268.jpg","Chocolate Orange Milkshake"
"https://www.marksandspencer.com/food/christmas-club/p/fdp60588944#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/9a6ce7cc36e8d7b2e490ce7d50818237.jpg","Christmas Club"
"https://www.marksandspencer.com/food/colin-the-caterpillar-chocolate-sponge-mini-roll/p/fdp60632648#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/7ae1400c25e5b64eece60e25d9bf67f4.jpg","Colin the Caterpillar Chocolate Sponge Mini Roll"
"https://www.marksandspencer.com/food/diet-cloudy-lemonade/p/fdp60715404#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/40bf9f765921fb54ec79bd0df9b9e937.jpg","Diet Cloudy Lemonade"
"https://www.marksandspencer.com/food/fa-la-la-la-fel-wrap/p/fdp60764571#intid=pid_pg1pip96g6r2c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ed0ee7f6be18aaa6aa4fdb46fc83ca25.jpg","Fa La La La Fel Wrap"
"https://www.marksandspencer.com/food/festive-turkey-dipper/p/fdp60764574#intid=pid_pg1pip96g6r2c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f8ac10e7ad6a0275e87431e646cc8ff8.jpg","Festive Turkey Dipper"
"https://www.marksandspencer.com/food/gingerbread-milkshake/p/fdp60773065#intid=pid_pg1pip96g6r3c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/930559f85ebaccf2b28f824ddc179686.jpg","Gingerbread Milkshake"
"https://www.marksandspencer.com/food/gingerbread-overnight-oats/p/fdp60764542#intid=pid_pg1pip96g6r3c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/b1a0f1b3d1f17c4e3c438c0d207903e1.jpg","Gingerbread Overnight Oats"
"https://www.marksandspencer.com/food/ho-ho-ho-ney-mustard-ham-hock-sandwich/p/fdp60764548#intid=pid_pg1pip96g6r3c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/017742290bfa9ac801ef7292be830392.jpg","Ho Ho Ho-Ney Mustard Ham Hock Sandwich"
"https://www.marksandspencer.com/food/irish-all-wrapped-up/p/fdp60710648#intid=pid_pg1pip96g6r3c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/7b9242516d0ec1d0e4fb44e4a14edd3e.jpg","Irish All Wrapped Up"
"https://www.marksandspencer.com/food/irish-turkey-feast-sandwich/p/fdp60599354#intid=pid_pg1pip96g6r3c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/2ca4f0ba3d7009b2547cf9251871dd29.jpg","Irish Turkey Feast Sandwich"
"https://www.marksandspencer.com/food/irish-veggie-christmas-cracker/p/fdp60710607#intid=pid_pg1pip96g6r3c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/aef0664693d3f56a2ff459b9c4f68ffc.jpg","Irish Veggie Christmas Cracker"
"https://www.marksandspencer.com/food/made-without-wheat-turkey-feast/p/fdp60074071#intid=pid_pg1pip96g6r4c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e019966720bb13e300baeefeb0c515be.jpg","Made Without Wheat Turkey Feast"
"https://www.marksandspencer.com/food/pigs-in-blankets/p/fdp60527222#intid=pid_pg1pip96g6r4c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/be680e1f8cb180e0b20f5b73fbf95a75.jpg","Pigs in Blankets"
