"product_page","image","name"
"https://www.marksandspencer.com/food/extra-large-pumpkin/p/fdp60767703#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/2b27c482e66b818085ddfbbcce6b7687.jpg","Extra Large Pumpkin"
"https://www.marksandspencer.com/food/pumpkin-colin-the-caterpillar/p/fdp60761249#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/5fb88e0beee079dc687063ddefdc6574.jpg","Pumpkin Colin The Caterpillar"
"https://www.marksandspencer.com/food/crown-prince-squash/p/fdp60521815#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/5bdc804e196f7acaf24197d87c513ede.jpg","Crown Prince Squash"
"https://www.marksandspencer.com/food/eerily-edible-pumpkin/p/fdp60767702#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/4cb102ea0c45ad332e97e79e9841bacb.jpg","Eerily Edible Pumpkin"
"https://www.marksandspencer.com/food/ghost-pumpkin/p/fdp60088653#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e6040d9e56ee0849e18e1eb201d892a1.jpg","Ghost Pumpkin"
"https://www.marksandspencer.com/food/mixed-squash/p/fdp60436702#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/b753580f75b0876dae9068a231f18c6e.jpg","Mixed Squash"
"https://www.marksandspencer.com/food/munchkin-pumpkin/p/fdp60474963#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/c95f9c01000c59861dbd632d25764e32.jpg","Munchkin Pumpkin"
"https://www.marksandspencer.com/food/spooky-large-pumpkin/p/fdp60038673#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/2bac6cda190c849fb3b9c1cf4f675f5d.jpg","Spooky Large Pumpkin"
"https://www.marksandspencer.com/food/warty-goblin-pumpkin/p/fdp60770688#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/7091f9f106fd72d41a005117b6fb96b6.jpg","Warty Goblin Pumpkin"
"https://www.marksandspencer.com/food/wicked-medium-pumpkin/p/fdp60039280#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/3e58af5d6e3d938172ee1fec3f4f5e71.jpg","Wicked Medium Pumpkin"
"","https://images.ctfassets.net/prxuf37q3ta2/1TF8E3qiMBT0KMrtcXPi1x/0e68e1f07a836bcc69adca2876e87d79/Primary_Image_1200x900.jpg?w=2560&q=60&fm=webp",""
