"product_page","image","name"
"https://www.marksandspencer.com/food/high-protein-banoffee-overnight-wheat-bisks/p/fdp60753634#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/60fb0da68045964a4446961b20758e3a.jpg","High Protein Banoffee Overnight Wheat Bisks"
"https://www.marksandspencer.com/food/british-aberdeen-angus-peppered-beef-steak-jerky/p/fdp60693318#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/d74b5a124c80568e3480dac511c09a8c.jpg","British Aberdeen Angus Peppered Beef Steak Jerky"
"https://www.marksandspencer.com/food/naked-chicken-caesar-salad/p/fdp60741464#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8a40f64a3c706d5ef14e9c710fbfe95c.jpg","Naked Chicken Caesar Salad"
"https://www.marksandspencer.com/food/bang-bang-cauliflower/p/fdp60726674#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/5ef0bf871837f6745ce49bbaef96b793.jpg","Bang Bang Cauliflower"
"https://www.marksandspencer.com/food/bang-bang-chicken/p/fdp60726653#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/273f90234dc78f9225d7a8391ddc69a0.jpg","Bang Bang Chicken"
"https://www.marksandspencer.com/food/beef-brisket-and-butter-beans/p/fdp60726652#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/9d1862f241f3b2bd0e8d7c4e44e63940.jpg","Beef Brisket & Butter Beans"
"https://www.marksandspencer.com/food/buffalo-chicken/p/fdp60726649#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/5e063ba878a4c8fe4127ef71a309439f.jpg","Buffalo Chicken"
"https://www.marksandspencer.com/food/chicken-and-mushroom-courgetti/p/fdp60726675#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/cf25423c237b7a3a857850fe4a678dd0.jpg","Chicken & Mushroom Courgetti"
"https://www.marksandspencer.com/food/high-protein-chocolate-hazelnut-spread/p/fdp60723972#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/3e98c2689b501dbdf6cd095aae644502.jpg","High Protein Chocolate Hazelnut Spread"
"https://www.marksandspencer.com/food/high-protein-chocolate-porridge/p/fdp60707010#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/92afeb232085a127836a9c47cdbfab3d.jpg","High Protein Chocolate Porridge"
"https://www.marksandspencer.com/food/high-protein-cod-scallop-and-prawn-linguine/p/fdp60726676#intid=pid_pg1pip96g6r2c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/07fbbfe1c973848506d85572537171f9.jpg","High Protein Cod, Scallop and Prawn Linguine"
