"product_page","image","name","media-0_textXs__ZzHWu","media-0_labelXs__Jb339"
"https://www.marksandspencer.com/food/british-aberdeen-angus-mince-12-fat/p/fdp21052689#intid=pid_pg2pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8ca71c84fd753d1d90f2cf54af812d0c.jpg","British Aberdeen Angus Mince 12% Fat","500 g",""
"https://www.marksandspencer.com/food/british-beef-and-pork-meatloaf-with-chunky-tomato-sauce/p/fdp21062824#intid=pid_pg2pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/238febca4cbff5bf7db032d8b73564aa.jpg","British Beef & Pork Meatloaf with Chunky Tomato Sauce","760 g",""
"https://www.marksandspencer.com/food/british-beef-rump-steak/p/fdp60449653#intid=pid_pg2pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/814f65f25c29e7ea995aa5088367d803.jpg","British Beef Rump Steak","222 g",""
"https://www.marksandspencer.com/food/british-beef-sirloin-steak/p/fdp60002762#intid=pid_pg2pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/18cd972189f0812e679584d8fc4a2298.jpg","British Beef Sirloin Steak","227 g",""
"https://www.marksandspencer.com/food/british-beef-thick-cut-ribeye-steak/p/fdp60071227#intid=pid_pg2pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/0214375da848961b71cba09ce5103f1a.jpg","British Beef Thick Cut Ribeye Steak","380 g",""
"https://www.marksandspencer.com/food/british-beef-topside-joint/p/fdp60720468#intid=pid_pg2pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/03e5395c72cd0176ec281dd1a44b33eb.jpg","British Beef Topside Joint","1.98 kg",""
"https://www.marksandspencer.com/food/british-beef-topside-joint/p/fdp60720466#intid=pid_pg2pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8f425a87a661a03ab7d04ba5d482ff4d.jpg","British Beef Topside Joint","1.1 kg",""
"https://www.marksandspencer.com/food/british-beef-topside-joint/p/fdp60720386#intid=pid_pg2pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/3c85f5d23f1127c5f69a9ab79f6b82a5.jpg","British Beef Topside Joint","600 g",""
"https://www.marksandspencer.com/food/british-beef-topside-joint/p/fdp60720467#intid=pid_pg2pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/31553b5a667c61d67a15667140ad1103.jpg","British Beef Topside Joint","1.54 kg",""
"https://www.marksandspencer.com/food/british-lambs-liver/p/fdp21051861#intid=pid_pg2pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/d11247cb31f2765ae4aab8a937824d60.jpg","British Lamb's Liver","0.25 kg",""
"https://www.marksandspencer.com/food/british-outdoor-bred-gammon-steaks/p/fdp60684830#intid=pid_pg2pip96g6r2c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/94d20853fdb91f89a21ea2548bee7630.jpg","British Outdoor Bred Gammon Steaks","381 g",""
"https://www.marksandspencer.com/food/british-outdoor-bred-pork-fillet-medallions/p/fdp60685262#intid=pid_pg2pip96g6r2c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/36a45989bc89bc2ebf2b8e359c12c366.jpg","British Outdoor Bred Pork Fillet Medallions","472 g",""
"https://www.marksandspencer.com/food/british-outdoor-bred-pork-schnitzel/p/fdp60685263#intid=pid_pg2pip96g6r3c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/11ea19cf9ebcbf326bfd493fce0ff625.jpg","British Outdoor Bred Pork Schnitzel","310 g",""
"https://www.marksandspencer.com/food/british-ribeye-steak/p/fdp60016807#intid=pid_pg2pip96g6r3c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/10a774ace2e5915bd8a47ba7fd9d27c1.jpg","British Ribeye Steak","210 g",""
"https://www.marksandspencer.com/food/british-rose-veal-breaded-escalopes/p/fdp60007912#intid=pid_pg2pip96g6r3c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/bd33b02b498b333d1280b5ec3010e2d2.jpg","British Rose Veal Breaded Escalopes","167 g","M&S Collection"
"https://www.marksandspencer.com/food/british-smoked-back-bacon/p/fdp21051845#intid=pid_pg2pip96g6r3c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/1d823550c36d98c37eec4e7fb2aa809e.jpg","British Smoked Back Bacon","300 g",""
"https://www.marksandspencer.com/food/british-venison-mince/p/fdp60498473#intid=pid_pg2pip96g6r3c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/3a58887c9ff05203d3a70242542fa5db.jpg","British Venison Mince","300 g","M&S Collection"
"https://www.marksandspencer.com/food/british-venison-steaks/p/fdp60508162#intid=pid_pg2pip96g6r3c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e63ff5ebe9d4301871441588466c6b40.jpg","British Venison Steaks","250 g","M&S Collection"
"https://www.marksandspencer.com/food/collection-master-grill-calabrian-spicy-sausages/p/fdp60607429#intid=pid_pg2pip96g6r4c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/251d9e74104620aa95d6303d57eb0d58.jpg","Collection Master Grill Calabrian Spicy Sausages","400 g","M&S Collection"
"https://www.marksandspencer.com/food/italian-diced-pancetta/p/fdp60488258#intid=pid_pg2pip96g6r4c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/c74c41e0a3df47b3197d921fe62f201a.jpg","Italian Diced Pancetta","130 g",""
"https://www.marksandspencer.com/food/northern-irish-beef-meatballs-3-fat/p/fdp60542401#intid=pid_pg2pip96g6r4c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/2e39e78db5cc8b5e97383f2bebfad806.jpg","Northern Irish Beef Meatballs 3% Fat","240 g",""
"https://www.marksandspencer.com/food/organic-beef-roasting-joint/p/fdp60726488#intid=pid_pg2pip96g6r4c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/0d846d37bcf8f42283865f526048a137.jpg","Organic Beef Roasting Joint","1.1 kg","Organic"
"https://www.marksandspencer.com/food/oriental-style-outdoor-bred-british-pork-belly-slices/p/fdp60684829#intid=pid_pg2pip96g6r4c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/fe0e504dac4e731a52034bece7128e75.jpg","Oriental Style Outdoor Bred British Pork Belly Slices","420 g",""
"https://www.marksandspencer.com/food/plant-kitchen-no-pork-streaky-bacon/p/fdp60717012#intid=pid_pg2pip96g6r4c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f39e38b8e691320d0f0ac01986285dea.jpg","Plant Kitchen No Pork Streaky Bacon","180 g","Plant Kitchen"
"https://www.marksandspencer.com/food/scotch-beef-mince-12-fat/p/fdp60615978#intid=pid_pg2pip96g6r5c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/b09e36faf0e6ebddabf23ff97a98173e.jpg","Scotch Beef Mince 12% Fat","750 g",""
"https://www.marksandspencer.com/food/scottish-beef-topside-joint/p/fdp60720387#intid=pid_pg2pip96g6r5c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/4c0f7f31fef54046f5e27a8bbcd80d91.jpg","Scottish Beef Topside Joint","600 g",""
"https://www.marksandspencer.com/food/scottish-beef-topside-joint/p/fdp60720415#intid=pid_pg2pip96g6r5c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e1a05a788c381e4282bf20bc7485d299.jpg","Scottish Beef Topside Joint","1.1 kg",""
"https://www.marksandspencer.com/food/slow-roast-silverside-of-beef-joint/p/fdp60710250#intid=pid_pg2pip96g6r5c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/de34cc65281523e620040b0f59f4adbb.jpg","Slow Roast Silverside of Beef Joint","1.1 kg",""
"https://www.marksandspencer.com/food/haggis-bonbons/p/fdp60596926#intid=pid_pg2pip96g6r5c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/df396cd2a0f08306cf33421c03b8d3c2.jpg","Haggis Bonbons","144 g",""
"https://www.marksandspencer.com/food/12-british-beef-meatballs/p/fdp21063696#intid=pid_pg2pip96g6r5c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/414e77316f9b58575af2b61170e82744.jpg","12 British Beef Meatballs","300 g",""
"https://www.marksandspencer.com/food/british-beef-mince-5-fat/p/fdp21057309#intid=pid_pg2pip96g6r6c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/7409433196d7c636665520ad38fac594.jpg","British Beef Mince 5% Fat","500 g",""
"https://www.marksandspencer.com/food/british-beef-thick-cut-sirloin-steak/p/fdp60071228#intid=pid_pg2pip96g6r6c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f60224c8cbf1aa1e78d26ea4aaf88423.jpg","British Beef Thick Cut Sirloin Steak","450 g",""
"https://www.marksandspencer.com/food/collection-british-rump-steak/p/fdp60631305#intid=pid_pg2pip96g6r6c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/61a1b4887b4fac8bcf900c4632e30096.jpg","Collection British Rump Steak","240 g","M&S Collection"
"https://www.marksandspencer.com/food/collection-thick-cut-aberdeen-angus-cote-de-boeuf/p/fdp60631335#intid=pid_pg2pip96g6r6c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/6581488932a35dd4056aa5c2f81bf918.jpg","Collection Thick Cut Aberdeen Angus Cote de Boeuf","769 g","M&S Collection"
"https://www.marksandspencer.com/food/new-yorker-style-chicken-flatties/p/fdp60680861#intid=pid_pg2pip96g6r6c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/c6309e02af0c9fe5a58a0196f8283bf0.jpg","New Yorker Style Chicken Flatties","374 g",""
"https://www.marksandspencer.com/food/scotch-beef-meatballs/p/fdp60615952#intid=pid_pg2pip96g6r6c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/85110ad8b3502b463b92dc488b49a374.jpg","Scotch Beef Meatballs","300 g",""
"https://www.marksandspencer.com/food/scotch-beef-mini-meatballs/p/fdp60615951#intid=pid_pg2pip96g6r7c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/6c89ae19702044f819846ce6b910a843.jpg","Scotch Beef Mini Meatballs","240 g",""
"https://www.marksandspencer.com/food/diced-northern-irish-beef/p/fdp60619758#intid=pid_pg2pip96g6r7c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/787324bc1e11f5c4caf5b5e1e43a5c73.jpg","Diced Northern Irish Beef","500 g",""
"https://www.marksandspencer.com/food/plant-kitchen-bangers/p/fdp60717034#intid=pid_pg2pip96g6r7c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/03c065c2c4c77518b1bda5ce4f92b9b4.jpg","Plant Kitchen Bangers","360 g","Plant Kitchen"
