"product_page","image","name"
"https://www.marksandspencer.com/food/20-meaty-strips-rich-in-chicken/p/fdp60478478#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ffbdc4b3698bb366409305358aa4c933.jpg","20 Meaty Strips Rich in Chicken"
"https://www.marksandspencer.com/food/7-dental-sticks-for-medium-dogs/p/fdp60478479#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/274c078d8ef033f7f5a57c9d7c8ceaa1.jpg","7 Dental Sticks for Medium Dogs"
"https://www.marksandspencer.com/food/7-tasty-cat-sticks-with-chicken-and-liver/p/fdp60477321#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f406443f4333a7e8b33daacfcca41d47.jpg","7 Tasty Cat Sticks with Chicken & Liver"
"https://www.marksandspencer.com/food/8-chewy-deli-sausages-with-venison-and-tripe/p/fdp60477323#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/9f116f321def86bb65937b22f10b5b24.jpg","8 Chewy Deli Sausages With Venison and Tripe"
"https://www.marksandspencer.com/food/8-crunchy-tripe-sticks/p/fdp60477322#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/077062769bd2cbb61b4162d4027b69b7.jpg","8 Crunchy Tripe Sticks"
"https://www.marksandspencer.com/food/8-meaty-twisters-rich-in-chicken/p/fdp60620778#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8be96cf406f34ded3f68a518f4b9edb7.jpg","8 Meaty Twisters Rich In Chicken"
"https://www.marksandspencer.com/food/crunchy-pillows-with-chicken/p/fdp60592128#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/fbc6dae573fe314c5a416c7de0740851.jpg","Crunchy Pillows With Chicken"
"https://www.marksandspencer.com/food/2-chunky-chew-bones-with-chicken/p/fdp60477320#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/18ff81e62d1ed8276dd7cd1c27e3759a.jpg","2 Chunky Chew Bones With Chicken"
"https://www.marksandspencer.com/food/chicken-bites/p/fdp60620777#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/30c8ae76575dffe60b98113be3197d92.jpg","Chicken Bites"
"https://www.marksandspencer.com/food/mini-beef-burgers/p/fdp60620779#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f651765d601bbf0905041eadff63cb62.jpg","Mini Beef Burgers"
