"product_page","image","name","media-0_textXs__ZzHWu","badge_badge__bDIEZ"
"https://www.marksandspencer.com/food/british-chicken-breasts-in-a-mustard-sauce/p/fdp60684557#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/4af4b5ffd9b44dfaba2b0220b105de51.jpg","British Chicken Breasts in a Mustard Sauce","456 g",""
"https://www.marksandspencer.com/food/british-chicken-breasts-with-basil-pesto/p/fdp60685269#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/a9be3e8785c496730bc592b26cb6d4c3.jpg","British Chicken Breasts with Basil Pesto","395 g","Eat Well"
"https://www.marksandspencer.com/food/chicken-and-chorizo-all-butter-pastry-en-croute/p/fdp60685261#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/4139a32847f8a07af2c0f2260756837d.jpg","Chicken and Chorizo All Butter Pastry En Croute","478 g",""
"https://www.marksandspencer.com/food/duck-breast-with-soy-honey-and-chilli/p/fdp60684556#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/e7b8d94a63bea0436e1eae5340363e9e.jpg","Duck Breast with Soy, Honey and Chilli","465 g",""
"https://www.marksandspencer.com/food/honey-soy-and-ginger-british-chicken-breasts/p/fdp60685257#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/3e1987fbe730d5ad2e23ca7dc5ca0e0e.jpg","Honey, Soy and Ginger British Chicken Breasts","399 g",""
"https://www.marksandspencer.com/food/hunters-british-chicken-wrapped-in-smoked-bacon/p/fdp60685259#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/5606fc6c17dd607800c05ea0c99108d4.jpg","Hunters British Chicken Wrapped in Smoked Bacon","471 g",""
"https://www.marksandspencer.com/food/masala-marinated-british-chicken-breasts/p/fdp60685256#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/ef0491e7ad591510b80f12eef80a1a21.jpg","Masala Marinated British Chicken Breasts","412 g",""
"https://www.marksandspencer.com/food/oakham-gold-chicken-drum-fillets/p/fdp60679468#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/5a91661e85499d811a1106ac29f6cc8f.jpg","Oakham Gold Chicken Drum Fillets","500 g","Eat Well"
"https://www.marksandspencer.com/food/oakham-gold-less-than-5-fat-chicken-mince/p/fdp60679467#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/2b5d2c2f0d96fbbd2b5be4b606a33477.jpg","Oakham Gold Less than 5% Fat Chicken Mince","500 g","Eat Well"
"https://www.marksandspencer.com/food/british-chicken-breast-fillets/p/fdp60584865#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/8e33b2de31590646acb2f6f24bb8377d.jpg","British Chicken Breast Fillets","950 g","Eat Well"
