"product_page","image","name"
"https://www.marksandspencer.com/food/aromatic-vegetable-medley-with-lemongrass-and-chilli-dressing/p/fdp60765806#intid=pid_pg1pip96g6r1c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/7fd11687b32b37842f2087091dfaed4a.jpg","Aromatic Vegetable Medley with Lemongrass and Chilli Dressing"
"https://www.marksandspencer.com/food/british-outdoor-bred-tomapork/p/fdp60917550#intid=pid_pg1pip96g6r1c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/db5b0a7cff0a09239006333201f1cb56.jpg","British Outdoor Bred Tomapork"
"https://www.marksandspencer.com/food/rainbow-veg-ribbons-with-lemon-dressing/p/fdp60765814#intid=pid_pg1pip96g6r1c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/c16deffd2c1bd4bd7865ab368025b647.jpg","Rainbow Veg Ribbons with Lemon Dressing"
"https://www.marksandspencer.com/food/tenderstem-broccoli-and-baby-veg-with-a-tomato-dressing/p/fdp60765807#intid=pid_pg1pip96g6r1c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/a1c0954cea1aebd060e9607714f45cb9.jpg","Tenderstem Broccoli and Baby Veg with a Tomato Dressing"
"https://www.marksandspencer.com/food/white-sprouting-cauliflower-with-lemon-dressing/p/fdp60765813#intid=pid_pg1pip96g6r1c5","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/05fe76f54dd73a45387230bbcdab4a82.jpg","White Sprouting Cauliflower with Lemon Dressing"
"https://www.marksandspencer.com/food/banquet-fried-rice/p/fdp60776013#intid=pid_pg1pip96g6r1c6","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/050720899f17c20eff7b4668dac3622a.jpg","Banquet Fried Rice"
"https://www.marksandspencer.com/food/beef-dripping-yorkshire-puddings/p/fdp60774705#intid=pid_pg1pip96g6r2c1","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/f67e381a62e8903cd08ae01ccc9cd7f4.jpg","Beef Dripping Yorkshire Puddings"
"https://www.marksandspencer.com/food/british-honey-and-mustard-parsnips/p/fdp60073673#intid=pid_pg1pip96g6r2c2","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/3a06c4345f9eb89acf0c788a98599779.jpg","British Honey and Mustard Parsnips"
"https://www.marksandspencer.com/food/chicken-dhansak/p/fdp60775978#intid=pid_pg1pip96g6r2c3","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/7349c10698d129e134c36e46fed8484b.jpg","Chicken Dhansak"
"https://www.marksandspencer.com/food/chicken-shashlik/p/fdp60775979#intid=pid_pg1pip96g6r2c4","https://assets.digitalcontent.marksandspencer.app/image/upload/w_2560,q_auto,c_fill,ar_1,f_auto/38e11ba0e9159883bda1c98a82672e20.jpg","Chicken Shashlik"
